BathroomTotal,Bedrooms,BuildingType,Latitude,Longitude,OwnershipType,Price,PropertyType,SizeInterior,StoriesTotal
6,4 + 1,House,43.7066352,-79.4236193,Freehold,$1,Single Family,,2
2,3,House,43.7975656,-79.4372788,Freehold,$1,Single Family,,2
2,3 + 1,House,43.845954,-79.4578044,Freehold,$1,Single Family,,1
0,,Other,43.6375235,-79.400877,Condominium/Strata,$500,Single Family,,
0,,Other,43.6376644,-79.4024936,Condominium/Strata,$500,Single Family,,
1,1 + 1,Apartment,43.6405271,-79.397104,Condominium/Strata,"$1,999",Single Family,,
3,4 + 2,House,43.6547859,-79.7197539,Freehold,"$2,489",Single Family,,2
2,2,Apartment,43.7951762,-79.3246269,Condominium/Strata,"$2,600",Single Family,,
5,5,House,43.8940552,-78.6637962,Freehold,"$3,000",Single Family,,3
0,,Other,43.6653563,-79.387999,Condominium/Strata,"$4,000",Single Family,,
0,,Other,43.6413424,-79.3831686,Condominium/Strata,"$5,500",Single Family,,
0,,Other,43.6415312,-79.3826739,Condominium/Strata,"$5,500",Single Family,,
1,1,Apartment,43.6410868,-79.3814048,Condominium/Strata,"$8,000",Single Family,,
0,,Other,43.6457745,-79.394652,Condominium/Strata,"$8,000",Single Family,,
0,0,Other,43.802551,-79.4207144,Condominium/Strata,"$9,000",Single Family,,
0,0,Row / Townhouse,43.7148874,-79.4512163,Condominium/Strata,"$9,900",Single Family,,
0,0,Apartment,43.831788,-79.5319789,Condominium/Strata,"$18,000",Single Family,,
0,0,Apartment,43.7945038,-79.4379952,Condominium/Strata,"$25,000",Single Family,,
0,0,Apartment,43.724568,-79.6160904,Condominium/Strata,"$27,000",Single Family,,
0,0,Apartment,43.6211337,-79.5212115,Condominium/Strata,"$28,500",Single Family,,
0,0,Apartment,43.8545211,-79.3407558,Condominium/Strata,"$30,000",Single Family,,
0,0,Apartment,43.640566,-79.5627389,Condominium/Strata,"$35,000",Single Family,,
0,0,Apartment,43.6405271,-79.397104,Condominium/Strata,"$48,900",Single Family,,
0,0,Apartment,43.6396694,-79.3920888,Condominium/Strata,"$49,000",Single Family,,
0,0,Apartment,43.6402232,-79.395951,Condominium/Strata,"$49,000",Single Family,,
0,0,,43.642906,-79.376831,Condominium,"$75,000",Single Family,200.0000,
1,1,Apartment,43.7693238,-79.5197725,Condominium/Strata,"$139,900",Single Family,,
1,0 + 1,Apartment,43.7758011,-79.1821972,Shares in Co-operative,"$148,900",Single Family,,
1,3,House,43.895142,-78.8523425,Freehold,"$199,888",Single Family,,2
2,3,Apartment,43.7703072,-79.5201641,Condominium/Strata,"$218,500",Single Family,,
2,3,Apartment,43.7693238,-79.5197725,Condominium/Strata,"$218,900",Single Family,,
1,1,Apartment,43.8059006,-79.2190766,Condominium/Strata,"$219,000",Single Family,,
1,2,Apartment,43.6960376,-79.5541097,Condominium/Strata,"$225,000",Single Family,,
1,1,Apartment,43.7491874,-79.5427005,Condominium/Strata,"$239,000",Single Family,,
1,2,Apartment,43.6966169,-79.5523535,Condominium/Strata,"$239,900",Single Family,,
1,2,Apartment,43.6966169,-79.5523535,Condominium/Strata,"$249,900",Single Family,,
1,2,Apartment,43.6966169,-79.5523535,Condominium/Strata,"$249,900",Single Family,,
2,3,Row / Townhouse,43.7668359,-79.1981627,Condominium/Strata,"$255,900",Single Family,,
1,2,Row / Townhouse,43.8874902,-78.8430829,Condominium/Strata,"$259,000",Single Family,,2
1,1,Apartment,43.7585383,-79.5151577,Condominium/Strata,"$260,000",Single Family,,
3,1,House,43.616574,-80.143525,Cooperative,"$265,000",Single Family,276 sqft,2.5000
3,1,House,43.616574,-80.143525,Cooperative,"$265,000",Single Family,276 sqft,2.5000
3,1,House,43.616574,-80.143525,Cooperative,"$265,000",Single Family,262 sqft,2.5000
3,1,House,43.616574,-80.143525,Cooperative,"$265,000",Single Family,257 sqft,2.5000
3,1,House,43.616574,-80.143525,Cooperative,"$265,000",Single Family,276 sqft,2.5000
1,1,Apartment,43.6098745,-79.591114,Condominium/Strata,"$275,000",Single Family,,
1,2,House,43.8826967,-78.8465588,Freehold,"$279,000",Single Family,,1.5000
1,3,Row / Townhouse,43.8710811,-78.8548339,Condominium/Strata,"$279,999",Single Family,,3
1,2,House,43.8972672,-78.6246247,Freehold,"$286,000",Single Family,,1
1,2,Apartment,43.7668468,-79.5113802,Condominium/Strata,"$288,000",Single Family,,
1,2,Apartment,43.5936274,-79.5364175,Shares in Co-operative,"$289,000",Single Family,,
1,1,Apartment,43.6959817,-79.5530999,Condominium/Strata,"$289,900",Single Family,,
1,2,Apartment,43.6960376,-79.5541097,Condominium/Strata,"$289,900",Single Family,,
1,2,Mobile Home,43.7090192,-79.6374012,,"$295,000",Single Family,,1
1,2,Apartment,43.7477413,-79.5799221,Condominium/Strata,"$295,000",Single Family,,
1,1,Apartment,43.7860372,-79.1977206,Condominium/Strata,"$299,000",Single Family,,
1,2,Apartment,43.6966169,-79.5523535,Condominium/Strata,"$299,000",Single Family,,
1,3,House,43.730486,-79.9301179,Freehold,"$299,000",Single Family,,1
1,1,Apartment,43.6964446,-79.2941767,Condominium/Strata,"$299,900",Single Family,,
1,1,Apartment,43.6407861,-79.4733328,Undivided Co-ownership,"$299,900",Single Family,,
2,2,Apartment,43.74894,-79.568001,Condominium/Strata,"$299,900",Single Family,,
2,3,House,43.8956295,-78.8534164,Freehold,"$299,900",Single Family,,1.5000
1,1,House,43.8884457,-78.8668253,Freehold,"$299,900",Single Family,,1.5000
1,2,Row / Townhouse,43.8710811,-78.8548339,Condominium/Strata,"$299,900",Single Family,,2
1,3,Row / Townhouse,43.8710811,-78.8548339,Condominium/Strata,"$299,900",Single Family,,2
1,2,House,43.8987726,-78.6221447,Freehold,"$299,999",Single Family,,1
2,2,Apartment,43.7474965,-79.5833018,Condominium/Strata,"$299,999",Single Family,,
1,1,Apartment,43.8067108,-79.217104,Condominium/Strata,"$299,999",Single Family,,
1,2,House,43.8905017,-78.8577055,Freehold,"$300,000",Single Family,,2
1,3,Apartment,43.7064429,-79.467532,Condominium/Strata,"$309,000",Single Family,,
1,3,Row / Townhouse,43.8682283,-78.8541379,Condominium/Strata,"$309,800",Single Family,,2
2,4,Row / Townhouse,43.7673558,-79.1981438,Condominium/Strata,"$310,000",Single Family,,3
2,2,Apartment,43.8113652,-79.2260385,Condominium/Strata,"$317,000",Single Family,,
2,2,House,43.8826398,-78.8629463,Freehold,"$319,900",Single Family,,2
1,2,House,43.6341038,-80.0329486,Freehold,"$319,900",Single Family,,2
1,4,Apartment,43.7058446,-79.4669622,Condominium/Strata,"$320,000",Single Family,,
1,1,Apartment,43.6964446,-79.2941767,Condominium/Strata,"$324,900",Single Family,,
1,3,Apartment,43.7058446,-79.4669622,Condominium/Strata,"$325,000",Single Family,,
1,2,Apartment,43.7667318,-79.1962794,Condominium/Strata,"$325,000",Single Family,,
1,2,House,43.8975831,-78.6241146,Freehold,"$327,500",Single Family,,1
2,3 + 1,Row / Townhouse,43.8682283,-78.8541379,Condominium/Strata,"$328,900",Single Family,,2
1,4,Row / Townhouse,43.8682283,-78.8541379,Condominium/Strata,"$329,900",Single Family,,2
1,0,,43.7424456,-79.2142294,Condominium/Strata,"$329,900",Single Family,,
1,2,Apartment,43.8067108,-79.217104,Condominium/Strata,"$330,000",Single Family,,2
1,1,Apartment,43.7213088,-79.7151413,Condominium/Strata,"$331,900",Single Family,,
2,3,Row / Townhouse,43.8710811,-78.8548339,Condominium/Strata,"$335,000",Single Family,,2
